FINAL_FOLDER_NAME,TESTSET_NAME,TESTSET_ID,TEST_INSTANCE_UNIQUE_ID,TEST_NAME,RESPONSIBLE_TESTER,TESTINSTANCE_STATUS,RUN_ID,EXECUTION_DATE,RUN_STATUS,DEFECT_ID,AR_NUMBER,DEFECT_BY,DEFECT_STATUS,LINKED_AR_STATUS,LINKED_AR_STATUS_DETAILS,LASTRUN_FLAG,TAGS
I164_I39_I167,stage_1_massive_operataions_with_dedupe_comression_IO,5968,33019,massive_operataions_with_dedupe_comression_IO,chene10,Failed,364944,2018/10/30 0:00,Failed,10592,MDT-48472,byan,Open,,,0,C234_C974_C1044
I54,Stage_1_Reprotection after Planed Failover,6206,33324,Reprotection after Planed Failover,liw27,Running,366226,2018/10/30 0:00,Failed,10594,MDT-48469,liw27,Open,,,0,C1072
I41,Stage_2_Massive VM operations with heavy IO,6103,33157,Massive VM operations with heavy IO,lwang3,Passed,366259,2018/10/30 0:00,Failed,10598,MDT-48480,longp3,Open,,,0,C129_C158_C265_C485
I54,Stage_1_Block Asynchronous Replication,5765,31385,Block Asynchronous Replication,tiand3,Failed,367628,2018/10/31 0:00,Failed,10636,MDT-48574,tiand3,Open,,,0,C619
I41,Stage_2_Massive VM operations with heavy IO,6103,33157,Massive VM operations with heavy IO,lwang3,Passed,367630,2018/10/31 0:00,Failed,10644,MDT-48578,longp3,Open,,,0,C129_C158_C265_C485
I180,Stage_1_Storage vMotion between Virtual Datastores (same Appliance),5989,33113,Storage vMotion between Virtual Datastores (same Appliance),lwang3,Failed,367865,2018/10/31 0:00,Failed,10645,MDT-48592,chenn8,Open,,,0,C313
I180,Stage_1_Storage vMotion between Virtual Datastores (same Appliance),5989,33113,Storage vMotion between Virtual Datastores (same Appliance),lwang3,Failed,367978,2018/10/31 0:00,Failed,10652,MDT-48603,chenn8,Open,,,0,C313
I54,Stage_1_Reprotection after Planed Failover,6206,33324,Reprotection after Planed Failover,liw27,Running,367991,2018/10/31 0:00,Failed,10655,MDT-48610,liw27,Open,,,0,C1072
I164_I39_I167,stage_2_Massive object modifications expand_shrink_during IO running,5995,33125,Massive object modifications expand_shrink_during IO running,yanb,Failed,368011,2018/10/31 0:00,Failed,10657,MDT-48626,yanh3,Open,,,0,C234_C235_C900
I164_I39_I167,stage_2_Massive object modifications expand_shrink_during IO running,5995,33125,Massive object modifications expand_shrink_during IO running,yanb,Failed,367995,2018/10/31 0:00,Failed,10669,MDT-48618,yanh3,Open,,,0,C234_C235_C900
I164_I39_I167,stage_2_Glitch create object_delete object_issue IO in parallel,5974,33060,Glitch create object_issue IO_delete object in parallel,yanb,Passed,370641,2018/11/1 0:00,Failed,10768,MDT-48883,yanh3,Open,,,0,C235_C858
I53,Stage_1_DM lifecycle,6602,35398,DM lifecycle,jguo,Passed,370634,2018/11/1 0:00,Failed,10769,MDT-48882,jguo,Open,,,0,C538_C623
I53,Stage_2_Snapshots LifeCycle,6305,33357,Snapshots LifeCycle,jguo,Failed,370688,2018/11/2 0:00,Failed,10772,MDT-48887,jguo,Open,,,0,C538
I164_I39_I167,stage_2_Glitch create object_delete object_issue IO in parallel,5974,33060,Glitch create object_issue IO_delete object in parallel,yanb,Passed,370712,2018/11/2 0:00,Failed,10776,MDT-48899,yanh3,Open,,,0,C235_C858
I54,Stage_1_Reprotection after Planed Failover,6206,33324,Reprotection after Planed Failover,liw27,Running,370697,2018/11/2 0:00,Failed,10780,MDT-48897,liw27,Open,,,0,C1072
I164_I39_I167,stage_3_Glitch create object_delete object_issue IO in parallel,5975,33069,Glitch create object_issue IO_delete object in parallel,yanb,Failed,371002,2018/11/2 0:00,Failed,10781,MDT-48907,yanh3,Open,,,0,C235_C858
I164_I39_I167,stage_2_Massive object modifications expand_shrink_during IO running,5995,33125,Massive object modifications expand_shrink_during IO running,yanb,Failed,371019,2018/11/2 0:00,Failed,10785,MDT-48917,yanh3,Open,,,0,C234_C235_C900
I164_I39_I167,stage_3_Multiple IO patterns different dedupe ratios and compression ratios  flush in parallel,5987,33100,Multiple IO patterns different dedupe ratios and compression ratios  flush in parallel,yanb,Failed,371041,2018/11/2 0:00,Failed,10789,MDT-48925,byan,Open,,,0,C234_C235_C858
I181,Stage_2_Clones from CGs and Volumes_Refresh_Restore,6201,33321,Clones from CGs and Volumes Refresh and Restore,liw27,Failed,371038,2018/11/2 0:00,Failed,10791,MDT-48929,liw27,Open,,,0,C1015_C623_C622_C628
I164_I39_I167,stage_3_Massive object modifications expand_shrink_during IO running,5996,33129,Massive object modifications expand_shrink_during IO running,yanb,Failed,371057,2018/11/2 0:00,Failed,10792,MDT-48931,yanh3,Open,,,0,C234_C235_C900
I164_I39_I167,stage_3_Glitch create object_delete object_issue IO in parallel,5975,33069,Glitch create object_issue IO_delete object in parallel,yanb,Failed,371076,2018/11/2 0:00,Failed,10794,MDT-48938,yanh3,Open,,,0,C235_C858
I164_I39_I167,stage_3_Long term  trim IO with object deletion,5982,33090,Long term trim IO with volume deletion,chene10,Failed,370756,2018/11/2 0:00,Failed,10795,MDT-48945,byan,Open,,,0,C234_C235_C900
I164_I39_I167,stage_2_Glitch create object_delete object_issue IO in parallel,5974,33060,Glitch create object_issue IO_delete object in parallel,yanb,Passed,371096,2018/11/2 0:00,Failed,10797,MDT-48953,yanh3,Open,,,0,C235_C858
I164_I39_I167,stage_3_Long term  trim IO with object deletion,5982,33090,Long term trim IO with volume deletion,chene10,Failed,371036,2018/11/2 0:00,Failed,10800,MDT-48943,chene10,Open,,,0,C234_C235_C900
I164_I39_I167,stage_1_massive_operataions_with_dedupe_comression_IO,5968,33019,massive_operataions_with_dedupe_comression_IO,chene10,Failed,371103,2018/11/2 0:00,Failed,10804,MDT-48976,byan,Open,,,0,C234_C974_C1044
I164_I39_I167,stage_2_Multiple IO patterns different dedupe ratios and compression ratios  flush in parallel,5984,33092,Multiple IO patterns different dedupe ratios and compression ratios  flush in parallel,yanb,Failed,371008,2018/11/3 0:00,Failed,10820,MDT-48988,byan,Open,,,0,C234_C235_C858
I180,Stage_1_Storage vMotion between Virtual Datastores (same Appliance),5989,33113,Storage vMotion between Virtual Datastores (same Appliance),lwang3,Failed,372070,2018/11/4 0:00,Failed,10844,MDT-49060,chenn8,Open,,,0,C313
I54,Stage_1_Reprotection after Planed Failover,6206,33324,Reprotection after Planed Failover,liw27,Running,372034,2018/11/4 0:00,Failed,10847,MDT-49048,liw27,Open,,,0,C1072
I164_I39_I167,stage_1_massive_operataions_with_dedupe_comression_IO,5968,33019,massive_operataions_with_dedupe_comression_IO,chene10,Failed,365889,2018/11/5 0:00,Failed,10848,MDT-49051,byan,Open,,,0,C234_C974_C1044
I53,Stage_1_App_Group_Volume_Snapset_lifecycle,8079,45499,App_Group_Volume_Snapset_lifecycle,jguo,Passed,372375,2018/11/5 0:00,Failed,10851,MDT-49071,jguo,Open,,,0,C579
I41,Stage_2_DRS triggered VM migration,6035,33121,DRS triggered VM migration,chenn8,Running,372340,2018/11/5 0:00,Failed,10854,MDT-49062,longp3,New,,,0,C178
I181,Stage_1_Clones from CGs and Volumes_Refresh_Restore,5758,33320,Clones from CGs and Volumes Refresh and Restore,liw27,Passed,372677,2018/11/5 0:00,Failed,10855,MDT-49084,liw27,Open,,,0,C1015_C623_C622_C628
I164_I39_I167,stage_3_Modification and trim on large volume with dedupe_compress IO,5998,33133,Modification and trim on large volume with dedupe_compress IO,yanb,Failed,372662,2018/11/5 0:00,Failed,10856,MDT-49083,yanh3,Open,,,0,C234_C974_C1044
I41,Stage_2_Massive VM operations with heavy IO,6103,33157,Massive VM operations with heavy IO,lwang3,Passed,373714,2018/11/6 0:00,Failed,10940,MDT-49242,longp3,Open,,,0,C129_C158_C265_C485
I51,Stage_1_Snapshots edit_delete_revert from vSphere,6046,33172,Snapshots edit_delete_revert from vSphere,chenn8,Passed,374027,2018/11/6 0:00,Failed,10942,MDT-49255,lwang3,Open,,,0,C266
